=== FFI (Foreign Function & Memory API) Hits ===
Format: callerSig | lib | symbol | mechanism | jar
<org.apache.tomcat.util.openssl.openssl_h: int SSL_CONF_CTX_set_flags(java.lang.foreign.MemorySegment,int)> | ssl | SSL_CONF_CTX_set_flags | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: java.lang.foreign.MemorySegment PEM_read_bio_DHparams(java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment)> | ssl | PEM_read_bio_DHparams | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: int X509_check_issued(java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment)> | ssl | X509_check_issued | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: void SSL_CTX_free(java.lang.foreign.MemorySegment)> | ssl | SSL_CTX_free | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: int OCSP_request_add1_nonce(java.lang.foreign.MemorySegment,char,int)> | ssl | OCSP_request_add1_nonce | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: void EC_GROUP_free(java.lang.foreign.MemorySegment)> | ssl | EC_GROUP_free | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: int i2d_OCSP_REQUEST(java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment)> | ssl | i2d_OCSP_REQUEST | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: java.lang.foreign.MemorySegment X509_get_ext(java.lang.foreign.MemorySegment,int)> | ssl | X509_get_ext | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: java.lang.foreign.MemorySegment SSL_get_peer_cert_chain(java.lang.foreign.MemorySegment)> | ssl | SSL_get_peer_cert_chain | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: java.lang.foreign.MemorySegment SSL_SESSION_get_id(java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment)> | ssl | SSL_SESSION_get_id | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: java.lang.foreign.MemorySegment BIO_s_file()> | ssl | BIO_s_file | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: java.lang.foreign.MemorySegment BN_new()> | ssl | BN_new | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: void OCSP_RESPONSE_free(java.lang.foreign.MemorySegment)> | ssl | OCSP_RESPONSE_free | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: int SSL_CTX_add_client_CA(java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment)> | ssl | SSL_CTX_add_client_CA | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: void SSL_set_connect_state(java.lang.foreign.MemorySegment)> | ssl | SSL_set_connect_state | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: java.lang.foreign.MemorySegment SSL_get_version(java.lang.foreign.MemorySegment)> | ssl | SSL_get_version | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: int EVP_PKEY_get_bits(java.lang.foreign.MemorySegment)> | ssl | EVP_PKEY_get_bits | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: int OPENSSL_sk_num(java.lang.foreign.MemorySegment)> | ssl | OPENSSL_sk_num | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: long SSL_SESSION_get_time(java.lang.foreign.MemorySegment)> | ssl | SSL_SESSION_get_time | downcallHandle | tomcat-coyote-ffm.jar
