=== JNA Interface Mapping Hits ===
Format: callerSig | lib | symbol | interface | calleeSig | callerJar | calleeJar
<com.sun.jna.platform.mac.XAttrUtil: java.lang.String getXAttr(java.lang.String,java.lang.String)> | <null:default-c-lib> | getxattr | com.sun.jna.platform.mac.XAttr | <com.sun.jna.platform.mac.XAttr: long getxattr(java.lang.String,java.lang.String,com.sun.jna.Pointer,long,int,int)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.mac.XAttrUtil: java.util.List listXAttr(java.lang.String)> | <null:default-c-lib> | listxattr | com.sun.jna.platform.mac.XAttr | <com.sun.jna.platform.mac.XAttr: long listxattr(java.lang.String,com.sun.jna.Pointer,long,int)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.mac.XAttrUtil: java.util.List listXAttr(java.lang.String)> | <null:default-c-lib> | listxattr | com.sun.jna.platform.mac.XAttr | <com.sun.jna.platform.mac.XAttr: long listxattr(java.lang.String,com.sun.jna.Pointer,long,int)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.unix.solaris.Kstat2StatusException: java.lang.String formatMessage(int)> | kstat2 | kstat2_status_string | com.sun.jna.platform.unix.solaris.Kstat2 | <com.sun.jna.platform.unix.solaris.Kstat2: java.lang.String kstat2_status_string(int)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.linux.Udev$UdevContext: com.sun.jna.platform.linux.Udev$UdevDevice deviceNewFromSyspath(java.lang.String)> | udev | udev_device_new_from_syspath | com.sun.jna.platform.linux.Udev | <com.sun.jna.platform.linux.Udev: com.sun.jna.platform.linux.Udev$UdevDevice udev_device_new_from_syspath(com.sun.jna.platform.linux.Udev$UdevContext,java.lang.String)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.linux.Udev$UdevContext: com.sun.jna.platform.linux.Udev$UdevEnumerate enumerateNew()> | udev | udev_enumerate_new | com.sun.jna.platform.linux.Udev | <com.sun.jna.platform.linux.Udev: com.sun.jna.platform.linux.Udev$UdevEnumerate udev_enumerate_new(com.sun.jna.platform.linux.Udev$UdevContext)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.linux.Udev$UdevContext: com.sun.jna.platform.linux.Udev$UdevContext ref()> | udev | udev_ref | com.sun.jna.platform.linux.Udev | <com.sun.jna.platform.linux.Udev: com.sun.jna.platform.linux.Udev$UdevContext udev_ref(com.sun.jna.platform.linux.Udev$UdevContext)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.linux.Udev$UdevDevice: com.sun.jna.platform.linux.Udev$UdevDevice getParentWithSubsystemDevtype(java.lang.String,java.lang.String)> | udev | udev_device_get_parent_with_subsystem_devtype | com.sun.jna.platform.linux.Udev | <com.sun.jna.platform.linux.Udev: com.sun.jna.platform.linux.Udev$UdevDevice udev_device_get_parent_with_subsystem_devtype(com.sun.jna.platform.linux.Udev$UdevDevice,java.lang.String,java.lang.String)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.linux.Udev$UdevDevice: com.sun.jna.platform.linux.Udev$UdevDevice getParent()> | udev | udev_device_get_parent | com.sun.jna.platform.linux.Udev | <com.sun.jna.platform.linux.Udev: com.sun.jna.platform.linux.Udev$UdevDevice udev_device_get_parent(com.sun.jna.platform.linux.Udev$UdevDevice)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
<com.sun.jna.platform.linux.Udev$UdevDevice: java.lang.String getDevnode()> | udev | udev_device_get_devnode | com.sun.jna.platform.linux.Udev | <com.sun.jna.platform.linux.Udev: java.lang.String udev_device_get_devnode(com.sun.jna.platform.linux.Udev$UdevDevice)> | jna-platform-5.13.0.jar | jna-platform-5.13.0.jar
